Question,Answer
How do I become a curator?,Tell us a bit about who you are and the music you love here. It might take us a while to touch base so feel free to follow up! We’re growing the community slow and steady.
How do I unsubscribe?,"Scroll to the bottom of any song email and select ""unsubscribe."" If for some reason you're still getting emails from us"
I’d like to play one of your rad shows. Who can I talk to?,Sweet! Send Shannon an email at shannon@asongaday.co.
What other large datasets are available?,We mention some other sources of data related to Music Information Retrieval research. THIS IS NOT AN EXHAUSTIVE LIST! If you want your dataset to be included here
How can I get the dataset?,See tab Getting the dataset. There you will also find a subset to get you started quickly.
Statistics of the dataset,1
Why are there more artist names than artist IDs?,If you count the artist names
What is the format of the data files?,Each file represents one track with all the related information (artist information
Can I add my audio to the dataset?,In the sense of having your audio analyzed and put in HDF5 format like the rest of the dataset
What publications use the dataset?,We try to maintain an informal list here
How can I organize all this data?,Gordon! (more to come on this). We have also created three SQLite databases
How can I extend the dataset?,If you have data that could be linked with the Million Song Dataset
Can I contact you privately to get the audio?,The Echo Nest data is released under the same terms of use as their API. For a more readable version of the TOS
"What is the difference between ""terms"" and ""mbtags""?",Terms are the tags provided by The Echo Nest. They can come from a number of places
Where can I get help?,Check to see if someone has brought up a similar issue in the forums; if not
Why aren't the strings displaying correctly?,All data was downloaded in utf-8 format and was saved in the HDF5 file in utf-8 format. We hoped that this would ensure that every name / release / title will display correctly if you set your display to utf-8
What is in the dataset?,Good question
How was the dataset created?,We used The Echo Nest API and some information from a local copy of the musicbrainz server. Data was downloaded during December 2010. For more information on how we chose the tracks
Can I recover audio from the features?,"Or ""can I reverse engineer the features?"". Well... you should try! Dan Ellis provided MATLAB code to do something like this"
How do I cite the dataset?,Check the Contact Us tab.
What can I do with this data?,Surprise us! But you might want a take a look at the tasks / demos tab to get inspired. That page incudes snippets of code to help you crawl through the whole dataset. This recent article provides a wide-ranging survey of existing Music Information Retrieval classification tasks.
Why didn't you build an API?,APIs have a lot of merit
How can I visualize a file?,A common first thing you might want to do is quickly glance at the numerical content of a data file. How you do this of course depends on the language you want to use. In each case
How can I get involved?,Fields 'year'
Will I get back the same data if I access The Echo Nest API?,Probably not
What are song / aggregate / summary files?,"A ""song file"" refers to the typical HDF5 file containing information for only one song. An ""aggregate file"" is also an HDF5 file that contains the information for several songs. These are useful if you do I/O intensive experiments"
What are these weird file paths?,We could not put a million files in one folder. Even a few thousand files in one directory can slow disk accesses significantly. We based the directory structure on The Echo Nest track IDs which are a kind of hash code. Echo Nest track IDs always take the form TR+LETTERS+LETTERS&NUMBERS. The directory path within the Million Song Dataset is the 3rd
Is there any vocal training?,Let’s Play Music adheres to the philosophy that the voice is the first musical instrument. Most of class time is spent singing. The voice is trained to sing in tune
How long and how frequent are the classes?,Classes are taught weekly. 1st year
What are the main instruments for the 1st Year?,Three main instruments are utilized in the 1st Year. The first is the singing voice. We sing
Isn’t age 4-5 too young to learn piano?,Research has proven that age 4-5 is an ideal age for music instruction. The ears are at prime listening capacity and the brain is busy connecting a network of neurons. Let’s Play Music captures this opportunity window by training the ears without requiring the finger strength or dexterity that a piano does.
Why are they group lessons?,It has been well documented that children in group settings learn and perform better. They are more comfortable and stimulated in this environment. They thrive on the synergy and playful interaction of the Let’s Play Music class. Visit the Philosophy page for complete information.
What are the main instruments for the 2nd and 3rd Years?,The piano becomes the instrument for instruction and practice in the 2nd and 3rd Years. Each child plays on his/her own full size keyboard in class and needs one for practice at home. Because of the intensive training in staff reading during the first year
What is the parent involvement?,Parent involvement in music training is crucial. Parents are involved at home and in class. The 1st Year
How is the curriculum calendar structured?,The curriculum is organized into 6 sequential semesters spanning 3 years. It follows the regular school year (September-May). Visit the Curriculum page for complete information
How can you teach note-reading to a child who doesn’t know his letters?,In the 1st Year
What do students do after 3 years of Let’s Play Music?,There is a beautiful balance of ear training and note reading in Let’s Play Music. Note reading is not delayed and the traditional letter names are taught so that graduates make a smooth transition to traditional private piano lessons.
How big are the classes?,Optimum class size is 6-7 children
Can I register for the 2nd or 3rd Year without having been through the 1st Year?,No. Let’s Play Music is highly sequential
The information about an artist or album on AllMusic is incorrect. ,Factual information about credits
How do I submit an album to AllMusic? ,Albums should be sent to our data provider
How do I submit a biography or photo to AllMusic? ,Artist biographies and artist/recording images are provided by our data provider
How do I update a biography on AllMusic? ,Updates to biographies should be sent to our data provider
How do I update an artist photo on AllMusic? ,New and updated photos should be sent to our data provider
How do I update my credits on AllMusic? ,Updates to credits should be sent to our data provider
How do I add lyrics to AllMusic? ,We no longer provide lyric display on AllMusic.
How do I get wrong lyrics corrected? ,We no longer provide lyric display on AllMusic.
AllMusic has my credits assigned to multiple people. How do I combine them? ,Artists who have recorded under different names or who are credited differently across different liner notes may be attributed to different AllMusic pages. To get them properly combined
AllMusic has my credits combined with somebody else's. How can these be split up? ,Artists with the same or very similar names are accidentally combined on occasion by our data provider TiVo. To get them properly split TiVo editors use a 1 to 5 star system. It is important to note that albums are rated only within the scope of an artist's own work; we won't compare a Miles Davis album to the latest album by Britney Spears.Editors may choose to revisit an artist's discography
How do you determine an album or track pick? ,When looking at an artist's discography
What is Editors' Choice? ,Each month
What are Staff Picks? ,Every day our editorial team selects a different album to highlight on the home page of AllMusic. This may be a recent discovery
"What does ""Associated With"" mean (under Related on an artist page)? ",If the artist is an individual
"What does ""Collaborated With"" mean (under Related on an artist page)? ",This represents a behind-the-scenes musical partnership
"What does ""Followed By"" mean (under Related on an artist page)? ",Artists who were influenced by the selected artist. This may be directly called out from research and interviews
"What does ""Influenced By"" mean (under Related on an artist page)? ",Artists that have had a direct musical influence on
"What does ""Similar To"" mean (under Related on an artist page)? ",Artists that share similarities with the selected artists. These are artists that sound similar
"What does ""Group Members"" mean? ",Past and current members of the selected band.
"What does ""Member Of"" mean? ",Band(s) that the selected artist is
What are Genres? ,Genres should be seen as the broad categorization of music into a grouping. Things like jazz
What are Styles? ,Styles are more specific sub-categories of music that fall under the broad genres. They usually relate to a specific time period (like power pop
What are Themes? ,Activities or events particularly suited for a song
What are Moods? ,Adjectives that describe the sound and feel of a song
What are User Ratings? ,By creating an AllMusic account
How do you come up with your album recommendations? ,By rating albums
What are Lists? ,Lists is a feature on AllMusic that lets you create custom lists of albums you want to check out
What is My Collection? ,Dedicated music fans who want to track which albums they own can now add albums to their collection list with a single click by visiting an album page. Or
"What are New Release Notifications? Why should I ""Follow"" an artist? ","Registered users can ""Follow"" a band or musician on the artist page by clicking the ""Follow Artist"" button under an artist's name. If an artist you are following releases a new album or single"
What is a User Profile? ,"User Profiles allow you to share your lists and collection. Navigate to the Profile Settings page in your user account and create your unique URL. You can see your profile page by clicking on ""My Profile"" at the top of any page. Once you’ve created your user profile"
Do you have a mobile app? What is AllMusic Roundup? ,AllMusic Roundup was an iOS companion app to the AllMusic website
I need help with a function on AllMusic that just isn't working. ,Sometimes we hear about problems like this if a user is using a very old browser version. We support current versions of most browsers
Track samples aren't working. ,Sometimes we hear about problems like this if a user is using a very old browser version. We support current versions of most browsers
How do I download or purchase music on your site? ,We do not sell any products directly on our site. When applicable
What happened to the Billboard chart info? ,Billboard has changed their licensing terms and the cost associated with licensing that information to display on AllMusic was way WAY more than we can afford. We're pretty bummed about it but we simply can't afford to license the information from them anymore.
How can I submit an idea for a new feature on AllMusic? ,Feature requests or any feedback related to AllMusic can be sent via our feedback form or by posting your idea on our Get Satisfaction page.
How can I submit a suggestion for an improvement to an existing feature on AllMusic? ,Feature requests or any feedback related to AllMusic can be sent via our feedback form or by posting your idea on our Get Satisfaction page.
What is an AllMusic subscription? What does it offer? ,By subscribing to support AllMusic you receive a number of benefits including an ad-free experience
I can't log in to my AllMusic account. ,If you had an account dating back before 2007 and you're trying to log in with those credentials
How can I get my Rovi ID? ,If you have been instructed to get your Rovi ID
How do I take control of an artist page? ,AllMusic accounts are not connected to artist pages
I don't agree with an album review. ,That's the great thing about being a music fan; you can have an opinion about an album that might not be the same as another person's opinion. TiVo editors take into account the history of the band
I don't agree with an album rating. ,That's the great thing about being a music fan; you can have an opinion about an album that might not be the same as another person's opinion.  TiVo editors use a 1 to 5 star system. It is important to note that albums are rated only within the scope of an artist's own work; we won't compare a Miles Davis album to the latest album by Britney Spears.Editors may choose to revisit an artist's discography
I don't agree with the Genre or Styles for an artist/album. ,"The AllMusic genre is considered to be a broad umbrella term that may have several styles under it. Occasionally we hear things like ""This band isn't pop/rock"
Why can't I find Bryan Adams on AllMusic? ,Due to the request of Mr. Adams
Can I get permission to use a song via AllMusic? ,Neither AllMusic nor TiVo own the rights to any music compositions
Can I get the rights to republish an AllMusic biography or review? ,All biographies
How do I get in touch with an artist? ,We do not have any way to get into contact with musicians
Can I write for AllMusic? ,Our album reviews and artist biographies are provided by a company called TiVo. Their careers page is available here.
How do I upload tracks or digital releases to be displayed on AllMusic? ,For adding digital-only releases to the database
How do I submit a video to AllMusic? ,AllMusic does not have a method of allowing artists upload videos to the site. 
Please remove an artist or album from AllMusic (aka takedown request) ,If your album or artist information is on AllMusic
How did my album get on AllMusic? ,Album information such as reviews
How do I get Spotify links added to a page on AllMusic? ,Our links to Spotify are automatically generated. We don't have a method of updating these links manually one-by-one at this time.
How do I get Rdio links added to a page on AllMusic? ,We no longer provide links to Rdio.
How do I get iTunes links added to a page on AllMusic? ,Our links to iTunes are automatically generated. We don't have a method of updating these links manually one-by-one at this time.
How do I get a music video added to AllMusic? ,AllMusic does not have a method of allowing artists upload videos to the site.
Whom do I contact about being interviewed on AllMusic? ,For interviews
Whom do I contact about doing an album premiere on AllMusic? ,Want to premiere a video
What are the differences between HDtracks and other digital-music services?,HDtracks offers music lovers the highest-quality downloads available anywhere on the web. Many digital music stores only offer heavily compressed MP3 files. When you purchase an HDtracks file
What are AIFF,AIFF is a studio-quality digital-audio format. It is an uncompressed studio-quality file that is compatible with several players
Will I really hear the difference between the various formats?,You should hear a substantial difference when listening to the music on a home stereo. The music will sound cleaner
Do I need special equipment to play HDtracks files?,No
What do I need to play 88/24,Please keep in mind that you will need a media player that is compatible with both the FLAC format and 88/24 or 96/24 resolution files. We suggest a media player such as MediaMonkey (PC)
I live in a country outside of the United States. Are there territory restrictions?,Due to agreements with our member labels
What are you doing with my e-mail address?,Nothing. Your e-mail address is stored in our database and only used to contact you to confirm the purchases you have made at HDtracks.
Which payment methods does HDtracks accept?,HDtracks accepts Visa
Why do you charge more for certain tracks?,A
Why do HDtracks files take longer to download than files from other digital music stores?,AIFF is CD quality that is the same file size as a normal CD. It is about 10 times larger than a standard 128 kbps MP3 file.FLAC is a CD quality lossless compression file that is about 6 times as large as a normal 128kbps MP3 file.
What is DRM and why should I care that HDtracks offers DRM-free music?,DRM stands for Digital Rights Management. It is a system that restricts people from using their music in a variety of ways and is generally frowned upon by music fans. DRM locks you into a certain hardware brand for the life of the music file. By cutting DRM out of the equation
What is the user agreement?,The user agreement helps to protect the rights of HDtracks
I forgot my password,Please email HDtracks customer support at contact@HDtracks.com
There was an error in payment when trying to check out,The name and billing address that you have entered in your My Account page must match the address that is on file with your credit card company. If you get this error message
I lost my Internet connection before the Download Manager launched but I still got a receipt. Now what?,"Your order has been processed and is now in the system. Go to your account page and then click on the red Resume Download link in your order history to automatically launch the Download Manager and resume your download. A message will also appear at the top of the page that says ""You have an order that is not completely downloaded. Click here to go to your account page to download your tracks."" the next time you logon if you still have not completed download of your order."
How do I update my account information?,If any of your personal information has changed
How do I add HDtracks.com to my list of safe sites?,"Hotmail users will have to add ""hdtracks.com"" to their safe list of domains in order to ensure you receive email from us. In order to do this"
How do I install the download manager?,Compatibility
Why do I need the Download Manager?,The HDtracks Download Manager is the best way to download and sort your hi-res music library. The free application downloads and stores all your hi-res music in one
How do I launch the Download Manager?,You will need to install this program and run it on your computer in order to download your first purchase. It will then launch automatically on each subsequent purchase. Alternatively
Where do my files go once the download is complete?,By default
I clicked “Launch Download Manager” and all I get is a blank page with the URL “hdtracks,If you get this page
My username and password seem to be correct,First make sure that you are logging in under the correct username
Why isn't my Download Manager working?,If your Download Manager does not automatically launch and start downloading your order
One of my songs “failed” in the Download Manager. How do I get that track?,Just close the download manager and re-launch it. Any failed files will download successfully. If not
I accidentally selected the wrong file format. Can I change it?,If you selected the wrong format
How do I get the audio files from the Downloader into my media player?,You will not be able to access your audio files directly from the HDtracks Downloader. Your files will be located in the “HDtracks” folder within your computer’s “Music” folder. From there
Will the Download Manager work on my smartphone?,Unfortunately the HDtracks download manager is not available as a mobile app. You need to install the download manager on your computer and then you can transfer the files to your device.
I want my music to be downloaded to a different location.,Open the download manager and click “settings.” In the settings window
I lost my music! Can I re-download it?,Unfortunately HDtracks' policy does not allow for multiple downloads of the same order after 90 days. This is why we ask that our customers back up their files. Contact HDtracks customer support for details.
How do I download an album in different sample rates?,To download an album in different sample rates (resolutions) you must place two separate orders and download one at a time. This can be a bit tricky because the Download Manager cannot overwrite existing files with the same name. Please contact HDtracks support for assistance.
Can I download music files to another computer besides my own? And how do I do this?,Yes
How do I import the album into iTunes,On iTunes
Why won't my music play in iTunes/Windows Media Player?,Please refer to this chart to match your media player with the recommended formats. If you need to change formats
Can I play HDtracks on my iPod or other personal media player?,Most iPods (except the iPod Shuffle) will play HDtracks AIFF files. Please check to see if your portable player will play AIFF
How can I play my HDtracks through my home system?,You can connect your computer directly to your home stereo just like you would a CD player. There are also several devices on the market
How do I import my tracks into iTunes or Media Monkey?,"From the iTunes ""File"" menu select"
How can I set up an HD music environment?,HD files are the same thing as purchasing a CD but without the disc. You can burn your file to a CD-R or use a home music server ( there are some on our cool links page). The better your Hi-FI system the better your HD files will sound. A good Hi-FI system will translate into a good HD music file system.
What are DSD files?,DSD (Direct Steam Digital) is a 1 bit over-sampled pulse density modulation format used to record music
What computer music player do I need to play back DSD?,There are several music playback software and hardware options available such as Foobar 2000
What DACs support DSD?,There are many consumer offerings from Mytek
Does iTunes support DSD files?,No. As of this writing
 Is this a copyright-free database?, No
 Can I use the RWC Music Database simply for listening or as background music (in stores, The database may not be used for such purposes. It can only be used for research.
 Can I make the contents of the database available on the Internet?, This is generally not permitted; as is stated in the Pledge
 May I modify the pieces/data recorded in the database?, Pieces/data may be freely modified for research purposes
 May I play a piece from the database when demonstrating research results at an academic conference or exhibition? Can I use modified or processed pieces for such demonstrations?, In either case
 May I demonstrate our research results including music excerpts from the database on the Internet or on conference/workshop CDs or DVD-ROMs? (New), When users who have submitted the Pledge and received authorization demonstrate their own research results with the help of those excerpts
 It is impractical to list the names of all potential users of a single database set acquired for joint use by multiple users at my research organization; what should I do?, The person in charge of the research organization (which could be a project
 When only one user will actually be using the database, As a general rule
 Is it possible to place a bulk order if I wish to acquire several types of databases at the same time?, Yes. Please mark the check boxes by the names of all the databases you wish to use.
 Is it possible for a single person or a single organization to obtain multiple sets of the same database?, Yes. However
 As a university professor, The user's supervisor (you) or the user should e-mail a Notification of Changes to User Contact Information form to rwc-mdb-order-ml [at] aist.go.jp to update the name of the user. The new user name might be that of the supervisor (your name) or of another student.
 We would like to discontinue use of the database because the research project for which it was being used has concluded (or the organization conducting the research project is closing); what should we do?, When discontinuing use of the database
 While there are some high quality pieces, The primary purpose of the database is not to provide pieces of high musical quality. Instead
 I am not satisfied with the quality and/or with certain selections; is it possible to have improvements made?, The media being distributed constitute a pre-packaged database offered as is; there are no plans to make future improvements. However
 We have a variety of requirements regarding database contents, We certainly encourage such activities. We hope very much that our series of databases will serve as a starting point from which databases for music information processing will be compiled worldwide
How does Artist's Pick work?,Whether it’s a track After you update your image using Spotify for ArtistsThe songs that appear under Popular on your Spotify artist profile are automatically updated every 24 hours and ranked based on their number of all-time streams and their number of recent streams. Your popular tracks can’t be manually updated.QuestionYou can manage all your artist profiles’ images with Spotify for ArtistsIf your music ends up on a different artist profileYou can! With Spotify for Artists
How do I invite team members to Spotify for Artists?,If you have Admin access to a profile in Spotify for ArtistsSpotify for Artists provides artists and their managers with audience stats and tools for managing their profile on Spotify. If you’re an artist or managerLog in to Spotify for Artists. Open the side menu by clicking the three dots in the top-left. Click your name located at the bottom of the side menu. Click User Settings. Edit business email information as desired. Click Save. Note
How do I edit my or another team member’s company and role?,You can pick any playlist available on Spotify to feature on your artist profile. If you want to create your own playlistWhen you remove your profile image altogetherYour artist radio station is based on your related artists. If you don’t have any artists listed under Related Artists on your profile
How do I get music on Spotify?,Music on Spotify is delivered by either a distributor or a record label working with a distributor. They handle all the licensing and distribution
What type of royalties does Spotify pay?,If your music ends up on a different artist profile If your label handles music distribution We distribute the net revenue from Premium subscription fees and ads to rightsholders. To calculate net revenue
How does Spotify know who to recommend my concerts to?,Before your first release goes live on Spotify At the moment you can't reach out directly to your fansGo to your artist profile. Click (…) to the right of the FOLLOW button. Click Share You can make changes or updates to your song submission right up to release day. Bear in mind Tracks from your new release are always included in your followers’ Release Radar playlists. You can specify which song they get by submitting it for playlist consideration
Why can't I edit a music submission made by my label?,Licensors and labels who submit a song for playlist consideration are also able to make it label-only. A label-only submission means you and your management team are able to view which song was submitted and by who Search results in Spotify are based on a mix of current and all-time popularity—but vary from user to user based on personal listening preferences. The more streams and followers you have
What is SoundBetter?,SoundBetter is the leading services marketplace connecting service seekers and service providers in the music production industry — now part of the Spotify for Artists family. As a musician
How much does Spotify cost on PlayStation Music?,Spotify is available for free. You can upgrade to Spotify Premium to enjoy your music add-free
Is Facebook login available?,Users who log in to Spotify using their Facebook credentials will need to use the Spotify app on Android or iPhone/iPad
Is offline playback available?,Yes
How do I unlink my Spotify account and my account on PlayStation Network?,Once your subscription has expired
Whatƒ??s special about Spotify being available on PlayStation Music?,You can stream music with Spotify on your PS4 system. You can even listen to Spotify in the background while playing supported games for PS4 (not available while using Remote Play). Spotify Connect acts as a remote that allow you to control playback on your PS4 console from a separate mobile phone or tablet without pausing your game. (Spotify Free and Premium users can use Spotify Connect to control PlayStation 4 using Android devices 2.4.0 and later and iOS devices 2.7.0 and later).
I have Spotify Free but Iƒ??m interested in Spotify Premium. How do I upgrade to Spotify Premium?,You can upgrade to Spotify Premium directly from the Spotify app on your PS4 console or Xperiaƒ?› device. You can also upgrade from a web or mobile browser after linking your account on PlayStation Network to your Spotify account https
How do I manage my Spotify subscription?,If you purchased Spotify Premium from Spotify directly
I already have a Spotify account. How will it work for me?,Open the Spotify app in PlayStation Music and link your Spotify account to your account on PlayStation Network.
Which devices support Spotify available on PlayStation Music?,Spotify is available on PlayStation Music on your PS4 system
Where is Spotify available on PlayStation Music?,Spotify is now available on PlayStation Music in Andorra
Is background playback available?,Yes
How do I link my account on PlayStation Network to my Spotify account?,To link your account on PlayStation Network with your Spotify account
Are Spotify Free accounts included?,Yes
When listening to Spotify on my PS4 system,Yes
How do I get a Spotify account?,You can create a Spotify account on your PS4 console
Itƒ??s great that Spotify is now available on PlayStation Music. How do I get it?,On a PS4 console
Uh oh. I think my account link was disconnected. What should I do?,On your PS4 console
What Spotify features are available on PlayStation Music?,With Spotify now available on PlayStation Music
How much is it to sign-up and register as an Artist?,Sign-up and registration is free. There are also no subscription fees.
"What is the ""Platform Usage Fee""?",The Platform Usage Fee is what allows FLIG to address your needs. It covers credit card transaction fees
Do I have to keep all my communication with a planner within the FLIG platform?,Yes you do
Can I link my bank account with FLIG to get paid via direct deposit?,FLIG uses credit/debit card processing right now
How do I get paid?,All Artists are paid 24 hours post performance. One of the benefits of working with FLIG is that we charge Planners 100% in advance of the event and hold the funds in escrow to guarantee your payment.
If someone asks me to book another gig at a FLIG event,If they are not already a FLIG Planner
Is all my information stored safely and securely with FLIG?,Absolutely! Our servers and data center are SOC Type II Audit compliant and meet SEC.gov security standards. FLIG also utilizes ssl standard technology encryption and account recovery conventions. In other words
Do I have to report FLIG earnings when I do my taxes?,Yes you do. But FLIG makes it super easy. In your account
What is the benefit of booking gigs with FLIG instead of on my own?,As a FLIG Member
How will Artists who are not selected,Artists who are not selected for an event will be notified via email that the performance opportunity is ƒ??no longer availableƒ?.
Is Music In Africa a commercial enterprise?,No. Music In Africa is a non-profit organisation.
I canƒ??t sync my Soundcloud or Deezer account.,If this happens check that the URL you are adding is correct. Also check that your Soundcloud account is set up to allow your music to be embedded on third-party websites. You have to log into your Soundcloud account to do this.
How do I know that my registration has been accepted?,Delegates whose registrations have been accepted will be notified via e-mail.
What should I include in my profile?,All the important information about your work such as stage or business name
How can I book for an exhibition space?,Exhibition stands are available (2019 fee to be confirmed). You can also take advantage of our unique interactive exhibition option
When should I register?,As soon as registration opens. Registration for 2019 opens on 1 May 2019
Does Music In Africa sell music or offer downloads?,No. Music In Africa does not sell music or offer any music downloading services ƒ?? we do not deal with music files. However
How long does it take Music In Africa to moderate my account?,We strive to publish profiles within 24 hours after their creation. If your profile is not published within this period
I would like to get involved in Music In Africa ƒ?? how can I do so?,Contact us on info@musicinafrica.net. We welcome all who believe in our initiative ƒ??journalists
Are there other activities related to ACCES that I need to look out for before the conference?,Please look out for the ACCES programme online and subscribe to our monthly newsletter for updates on all the showcases
How do I contribute content?,Knowledgeable individuals or businesses are welcome to contribute content with Music In Africa. You will first need to create a contributorƒ??s profile and contact us on content.en@musicinafrica.net if youƒ??d like to submit an article to be published. If your content adheres to our editorial policy
What are the official languages and will there be real time translation?,English and French are our official languages. Translation will be provided for these two languages.
What are the benefits of creating a profile?,An up-to-date profile provides many opportunities. Musicians and professionals working in the African music sector are able to connect with the rest of the continent and tap into a rapidly growing market throughout the globe
How do I find out who is speaking and performing at ACCES 2019?,The programme will be published on the ACCES website. Also make sure to subscribe to our newsletter for updates.
I have created my account but itƒ??s still not published?,The Music In Africa editorial team moderates all user-generated content
Who owns the Music In Africa portal?,Music In Africa is owned and governed by the Music In Africa Foundation ƒ?? a pan-African non-profit organisation. The foundation was formed in Kenya in July 2013 and officially registered as a non-profit organisation (NPO) in South Africa in February 2014.
How do I get a confirmation letter for visa purposes,The confirmation email that you receive when you register may also be used for visa purposes. However
Where is ACCES happening in the coming years?,ACCES 2020 venue will be announced at ACCES 2019.
How do I claim a profile?,When creating your new account
I am not a music professional ƒ?? is this portal for me?,Yes. Music In Africa is for everyone interested or operating in the African music sector. Whether youƒ??re a musician
Do I still need to register if I am African?,Yes. All attending delegates must register online.
What is a profile?,Music In Africa allows people from all walks of life to create profiles about themselves or their music-related businesses
What is the best way to book for accommodation in Accra,When registrations open we provide a list of our partner hotels for 2019. Please check our info page here for more details
Can I sync any kind of external media with my Music In Africa profile?,At the moment
Who selects the ACCES performers?,The ACCES Curation Committee selects performers.
How does Music In Africa recommend tracks for me?,When you are logged in
Will there be shuttles to get delegates to various venues?,Yes. Please refer to registration confirmation document for specific details.
Are there any opportunities for me to perform?,Yes
Iƒ??ve spotted an error on the site ƒ?? how can I correct it?,Simply go to the Contact Us page and send us your feedback.
I want to speak at ACCES how do I do it?,In general the organising team reaches out to speakers who meet the editionƒ??s focus areas. However
I do not want to Sync everything from my Soundcloud /Deezer account.,No worries
Who should create a profile?,Everyone who is operating in the African music sector is welcome ƒ?? from musicians to record labels
How can I contact the ACCES organizers?,Please send an email to projects@musicinafrica.net for any questions or inquiries.
Which countries does Music In Africa cover?,Music In Africa has five strategically placed offices across Africa
Where do I pick up my ACCES pass,There will be an on-sight registration desk where all registered delegates will receive their badges
How do I become a member of the Music In Africa Foundation?,We are currently adding a feature to this website that will allow users to apply online for membership. In the interim
How do I put my music on Music In Africa?,First you need to have your music on legitimate music digital platforms that are intergrated on Music In Africa. Currently these are (Soundcloud
Will I be able to attend ACCES if I have not registered?,All delegates should register and reserve their seat. Only registered persons will receive the ACCES pass.
ACCES is free for Africans,The fee is $100.
How do I renew my contract after 12 months?,If you would like to renew your 12-month plan to continue enjoying your JioSaavn Pro subscription at $4.90/mth
Who are our partner apps?,Our partner apps are Spotify
Can I subscribe to multiple premium music accounts with Singtel Music?,Yes
How might your data waiver for Singtel Music be affected?,Your data waiver for Singtel Music may be affected due to one or more of the following
If I am an existing Spotify/KKBOX/JioSaavn/TIDAL/Deezer premium subscriber but subscribed directly to one of these services,To enjoy local data waiver
